Battery_ID,Group,Cycle,Capacity,HI_Duration,HI_T_peak,HI_V_drop,HI_Energy,HI_T_peak_Smoothed,SOH
B0029,G3,1,1.697507332205763,1572.359,58.72626885895911,691.547,21306.171627781187,59.119894532172644,92.02071998435522
B0029,G3,2,1.844701206961174,1723.281,59.76796387174703,771.266,23505.674147804188,59.4138437022559,100.0
B0029,G3,3,1.8254376674722927,1705.906,59.844347317645614,766.484,23296.147362013173,59.625376799757255,98.9557366029692
B0029,G3,4,1.815750429913437,1697.688,59.9199472840752,761.5619999999999,23187.384508477247,59.76703015570183,98.4305980318933
B0029,G3,5,1.8132993337127028,1686.094,59.89475354681757,765.125,23053.279419369923,59.85134010111477,98.29772577098271
B0029,G3,6,1.8151647619660576,1678.563,59.588132364640614,761.2819999999999,22964.52765768826,59.89084296702121,98.39884937009542
B0029,G3,7,1.8143317955190057,1677.469,59.81336613073259,765.625,22974.81397972809,59.89807508444627,98.35369482452953
B0029,G3,8,1.801343601809866,1666.093,59.75433532594285,759.313,22814.58135202111,59.885572784415444,97.6496136616763
B0029,G3,9,1.7881558802945825,1654.328,59.7737242563152,752.687,22667.03296348315,59.87286768352199,96.93471623191812
B0029,G3,10,1.7760714604539518,1643.812,59.800107348599425,747.5160000000001,22537.99612653989,59.90559388375763,96.27962803687446
B0029,G3,11,1.7852807447597443,1652.266,59.92418745751934,751.125,22617.21212827479,59.92628610648862,96.77885708660024
B0029,G3,12,1.7698116401111978,1648.672,60.120904895462246,743.9369999999999,22560.99886353402,59.96378048085505,95.94028742609521
B0029,G3,13,1.7565231680521758,1636.969,60.159083367849426,748.2189999999999,22402.73339252238,59.993157555538176,95.21992837776388
B0029,G3,14,1.7543413277348154,1625.187,60.033062355018394,741.515,22255.416034196896,59.96851432188622,95.10165229548417
B0029,G3,15,1.7392875506998715,1622.016,60.155675284547456,735.328,22183.462104442868,59.99667025627197,94.28559726293273
B0029,G3,16,1.7797845109331345,1638.422,59.708263302408355,737.687,22409.45802832311,59.97369952258303,96.48090998243676
B0029,G3,17,1.7657088508465202,1646.438,59.826072535975634,741.6709999999999,22525.86104559053,59.9848202175468,95.71787800557794
B0029,G3,18,1.7523941408724169,1634.765,59.97193555147316,735.3910000000001,22358.022984351155,59.98191167822446,94.99609661768385
B0029,G3,19,1.7380191225603105,1622.016,59.90509096707212,728.0,22193.37191113146,59.98021407432923,94.21683663466543
B0029,G3,20,1.7312214443143976,1616.25,60.003884509148,719.875,22097.366512621542,59.994414840987474,93.84833911212567
B0029,G3,21,1.7379128985265808,1622.218,60.25771781052726,722.469,22160.720055137313,60.00396880354778,94.21107830191599
B0029,G3,22,1.7224270683625882,1619.656,59.90492726798961,716.015,21900.48139089872,60.045856871298724,93.37160196257413
B0029,G3,23,1.7184213765608034,1605.484,60.33243416075105,718.563,21927.033831160923,60.10170329108106,93.15445612959756
B0029,G3,24,1.7010220930648232,1600.75,59.986696705381924,710.562,21630.981604793717,60.0796449278798,92.21125278423614
B0029,G3,25,1.693698739563104,1595.0,59.99528714045464,702.0939999999999,21529.94728512422,60.068921351283755,91.81425876297766
B0029,G3,26,1.713072721286705,1612.422,59.98821696841703,715.9689999999999,21761.742223488,60.05547988174604,92.86450915856969
B0029,G3,27,1.6976972688567131,1598.969,60.01985635641876,708.86,21588.87631631075,60.03963894407882,92.03101632124888
B0029,G3,28,1.6899314034061208,1592.187,60.26410091872941,689.656,21447.88837111616,60.0330959913956,91.61003402767814
B0029,G3,29,1.685023551367069,1577.484,59.92046248220958,692.125,21287.479780959256,60.03309724922697,91.3439827007461
B0029,G3,30,1.678389965463405,1571.547,59.887692512983016,694.797,21200.892490226517,60.04517504760396,90.98438051267186
B0029,G3,31,1.6737947494868326,1578.484,60.158935395611046,686.578,21250.394433825742,60.07530381567112,90.73527697442773
B0029,G3,32,1.6687898927884715,1574.469,60.047482357880945,689.594,21037.752267037173,60.075386995596375,90.46396709077423
B0029,G3,33,1.6492566306631427,1568.281,60.167863371476415,680.766,20933.12523516635,60.076648415870494,89.40508221274531
B0029,G3,34,1.6409676757039668,1561.422,60.09738415148209,671.75,20835.662780818544,60.082053040975474,88.95574359205723
B0029,G3,35,1.6456360229757092,1554.234,60.02940147619038,673.4369999999999,20747.016513703085,60.09040274625386,89.20881152816123
B0029,G3,36,1.654547743574037,1573.734,60.33090148423857,666.562,20961.677814135204,60.1029881939133,89.69190985133133
B0029,G3,37,1.6461201520877546,1566.578,59.88870262903497,668.0,20764.359988467444,60.121100046161786,89.23505583863377
B0029,G3,38,1.6275119188151763,1550.047,60.13011665786984,659.063,20661.637702063945,60.14602896520732,88.22631614667942
B0029,G3,39,1.6200530533464497,1543.64,60.20528139553767,660.891,20567.357058874193,60.17906561325791,87.82197611369305
B0029,G3,40,1.612079811711934,1536.781,60.24494659507955,651.625,20457.86021352085,60.22150065252155,87.38975209798645
